Hour,Spring_Mean,Spring_P25,Spring_P75,Summer_Mean,Summer_P25,Summer_P75,Autumn_Mean,Autumn_P25,Autumn_P75,Winter_Mean,Winter_P25,Winter_P75
0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002
1,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002
2,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002
3,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002
4,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002
5,0.0,0.0,0.002,0.015,0.0,0.024,0.0,0.0,0.002,0.0,0.0,0.002
6,0.043,0.0,0.055,0.123,0.021,0.156,0.0,0.0,0.002,0.0,0.0,0.002
7,0.194,0.016,0.259,0.338,0.06,0.439,0.031,0.0,0.022,0.0,0.0,0.002
8,0.475,0.09,0.708,0.63,0.126,0.954,0.168,0.01,0.194,0.01,0.0,0.002
9,0.802,0.184,1.286,0.912,0.205,1.497,0.404,0.059,0.676,0.113,0.004,0.108
10,1.076,0.272,1.771,1.114,0.27,1.886,0.619,0.122,1.062,0.352,0.054,0.533
11,1.263,0.301,2.114,1.264,0.3,2.054,0.746,0.163,1.288,0.559,0.099,0.951
12,1.351,0.314,2.214,1.324,0.314,2.104,0.799,0.168,1.42,0.655,0.12,1.138
13,1.303,0.276,2.198,1.347,0.306,2.156,0.768,0.144,1.373,0.662,0.11,1.212
14,1.196,0.264,2.026,1.268,0.306,2.01,0.655,0.111,1.137,0.553,0.065,0.989
15,1.041,0.283,1.764,1.112,0.295,1.806,0.491,0.066,0.806,0.342,0.041,0.501
16,0.787,0.215,1.309,0.888,0.267,1.45,0.298,0.031,0.425,0.156,0.008,0.155
17,0.468,0.12,0.776,0.587,0.186,0.945,0.118,0.002,0.17,0.039,0.0,0.022
18,0.196,0.036,0.304,0.31,0.09,0.471,0.025,0.0,0.021,0.0,0.0,0.002
19,0.05,0.0,0.09,0.11,0.028,0.17,0.0,0.0,0.002,0.0,0.0,0.002
20,0.0,0.0,0.003,0.019,0.0,0.038,0.0,0.0,0.002,0.0,0.0,0.002
21,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002
22,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002
23,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002
