K,q,ng,nc,np,kappa_c_mean,kappa_c_std,n_valid
4,0.0,10,10,29,0.09400207853366278,0.02161619030086039,50
4,0.0,10,20,19,0.0861121382980627,0.02201371096229522,50
4,0.0,10,29,10,0.08202306795669752,0.023419361484173454,50
4,0.0,10,39,0,0.08074876803129877,0.0217005963579547,50
4,0.0,20,10,19,0.08380214781811897,0.01955036263663035,50
4,0.0,20,20,9,0.06348916613796969,0.013552426542980413,50
4,0.0,20,29,0,0.05980993743179393,0.014942748422941085,50
4,0.0,29,10,10,0.08154966391316515,0.0195681142994738,50
4,0.0,29,20,0,0.05678492946265119,0.01465979853309325,50
4,0.0,39,10,0,0.0763810339882411,0.01686453437257825,50
4,0.15,10,10,29,0.07797462415089736,0.018079570649751124,50
4,0.15,10,20,19,0.06443711863448692,0.015701591893384766,50
4,0.15,10,29,10,0.05834123095064565,0.013021394259796872,50
4,0.15,10,39,0,0.05883547278295961,0.011727920207593199,50
4,0.15,20,10,19,0.06570560114516862,0.01418155007464975,50
4,0.15,20,20,9,0.05117155341423536,0.012718368144504597,50
4,0.15,20,29,0,0.047657691873951046,0.011894645234152462,50
4,0.15,29,10,10,0.05727626258760661,0.009855238240026931,50
4,0.15,29,20,0,0.04921332578976485,0.01505714874739435,50
4,0.15,39,10,0,0.061556926144817184,0.015844356485183498,50
4,1.0,10,10,29,0.06165648976718781,0.006391190521944492,50
4,1.0,10,20,19,0.056354774559679265,0.008045257079434417,50
4,1.0,10,29,10,0.053846085988538975,0.007607414224198071,50
4,1.0,10,39,0,0.054834092815894984,0.009384839866863748,50
4,1.0,20,10,19,0.05680056972516919,0.010791765304571837,50
4,1.0,20,20,9,0.03943902002311002,0.004791308143809279,50
4,1.0,20,29,0,0.03642402563667698,0.004792214863541971,50
4,1.0,29,10,10,0.05369283048935354,0.009168044527983737,50
4,1.0,29,20,0,0.035655697740480684,0.004279016070920844,50
4,1.0,39,10,0,0.05365668622414428,0.00886595413333024,50
8,0.0,10,10,29,0.03125758916320361,0.005655137115786294,50
8,0.0,10,20,19,0.027094370626059527,0.005741880118176713,50
8,0.0,10,29,10,0.02411251643002282,0.0048769596121895865,50
8,0.0,10,39,0,0.02445150004660939,0.0050282231347486975,50
8,0.0,20,10,19,0.027032787092394935,0.0053882761074635676,50
8,0.0,20,20,9,0.020199637460620975,0.003935678870893667,50
8,0.0,20,29,0,0.018176989120718134,0.003489465450475397,50
8,0.0,29,10,10,0.02480750675380244,0.005229530889566172,50
8,0.0,29,20,0,0.017786435553176654,0.003346576407976288,50
8,0.0,39,10,0,0.02444060431494671,0.004352027462132878,50
8,0.15,10,10,29,0.025100928569059926,0.004103066386429531,50
8,0.15,10,20,19,0.021749692380353673,0.0037589966640777404,50
8,0.15,10,29,10,0.020336370548335415,0.002794234185078133,50
8,0.15,10,39,0,0.020276193684622898,0.0021624420506941872,50
8,0.15,20,10,19,0.021763043823966585,0.003143566569132758,50
8,0.15,20,20,9,0.016955332030136046,0.0032403191117865286,50
8,0.15,20,29,0,0.01518743400274044,0.0023204624411438555,50
8,0.15,29,10,10,0.021127682001036808,0.003387379530841833,50
8,0.15,29,20,0,0.0144565139905239,0.0021616835969427766,50
8,0.15,39,10,0,0.019860177006762507,0.0021993171238571885,50
8,1.0,10,10,29,0.024419313530756815,0.0027021040675282372,50
8,1.0,10,20,19,0.021994214533378843,0.0029806122525332006,50
8,1.0,10,29,10,0.021580105204606008,0.0027495948693646425,50
8,1.0,10,39,0,0.02199504899860464,0.0028423006185968303,50
8,1.0,20,10,19,0.021934347613893058,0.002581712267651737,50
8,1.0,20,20,9,0.014614537862428239,0.0010439835091324127,50
8,1.0,20,29,0,0.013773897593949834,0.0010155229166951898,50
8,1.0,29,10,10,0.022261910977817864,0.003048934914826437,50
8,1.0,29,20,0,0.013761714401653045,0.001059821978886631,50
8,1.0,39,10,0,0.021324854212963297,0.002430146857207324,50
